Title,Year,Time,Genere,Rating,Rating_Count,Movi_Link
Mr. Smith Goes to Washington ,1939,2h 9min,Comedy,8.1,"104,656",https://www.imdb.com/title/tt0031679/
Mad Max: Fury Road ,2015,2h,Action,8.1,"857,655",https://www.imdb.com/title/tt1392190/
Barry Lyndon ,1975,3h 5min,Adventure,8.1,"145,550",https://www.imdb.com/title/tt0072684/
How to Train Your Dragon ,2010,1h 38min,Animation,8.1,"652,116",https://www.imdb.com/title/tt0892769/
Prisoners ,2013,2h 33min,Crime,8.1,"582,093",https://www.imdb.com/title/tt1392214/
The General ,1926,1h 7min,Action,8.1,"78,871",https://www.imdb.com/title/tt0017925/
To Be or Not to Be ,1942,1h 39min,Comedy,8.2,"27,627",https://www.imdb.com/title/tt0035446/
Sherlock Jr. ,1924,45min,Action,8.2,"39,745",https://www.imdb.com/title/tt0015324/
Ford v Ferrari ,2019,2h 32min,Action,8.1,"254,149",https://www.imdb.com/title/tt1950186/
Persona ,1966,1h 23min,Drama,8.1,"99,080",https://www.imdb.com/title/tt0060827/
Before Sunrise ,1995,1h 41min,Drama,8.1,"263,324",https://www.imdb.com/title/tt0112471/
The Bandit ,1996,2h 8min,Crime,8.2,"61,976",https://www.imdb.com/title/tt0116231/
Catch Me If You Can ,2002,2h 21min,Biography,8.1,"801,720",https://www.imdb.com/title/tt0264464/
The Big Lebowski ,1998,1h 57min,Comedy,8.1,"714,844",https://www.imdb.com/title/tt0118715/
Gone Girl ,2014,2h 29min,Drama,8.1,"834,626",https://www.imdb.com/title/tt2267998/
Andhadhun ,2018,2h 19min,Crime,8.3,"66,048",https://www.imdb.com/title/tt8108198/
Klaus ,2019,1h 36min,Animation,8.2,"75,236",https://www.imdb.com/title/tt4729430/
The Grand Budapest Hotel ,2014,1h 39min,Adventure,8.1,"688,435",https://www.imdb.com/title/tt2278388/
Wild Tales ,2014,2h 2min,Comedy,8.1,"170,798",https://www.imdb.com/title/tt3011894/
The Deer Hunter ,1978,3h 3min,Drama,8.1,"304,717",https://www.imdb.com/title/tt0077416/
Hacksaw Ridge ,2016,2h 19min,Biography,8.1,"419,116",https://www.imdb.com/title/tt2119532/
In the Name of the Father ,1993,2h 13min,Biography,8.1,"153,001",https://www.imdb.com/title/tt0107207/
Mary and Max ,2009,1h 32min,Animation,8.1,"161,262",https://www.imdb.com/title/tt0978762/
Gran Torino ,2008,1h 56min,Drama,8.1,"707,752",https://www.imdb.com/title/tt1205489/
On the Waterfront ,1954,1h 48min,Crime,8.1,"138,723",https://www.imdb.com/title/tt0047296/
Tokyo Story ,1953,2h 16min,Drama,8.2,"50,593",https://www.imdb.com/title/tt0046438/
The Third Man ,1949,1h 33min,Film-Noir,8.1,"155,409",https://www.imdb.com/title/tt0041959/
Memories of Murder ,2003,2h 12min,Action,8.1,"128,511",https://www.imdb.com/title/tt0353969/
Kill Bill: Vol. 1 ,2003,1h 51min,Action,8.1,"978,347",https://www.imdb.com/title/tt0266697/
Stalker ,1979,2h 42min,Drama,8.2,"112,213",https://www.imdb.com/title/tt0079944/
The Bridge on the River Kwai ,1957,2h 41min,Adventure,8.1,"198,934",https://www.imdb.com/title/tt0050212/
Fargo ,1996,1h 38min,Crime,8.1,"601,557",https://www.imdb.com/title/tt0116282/
Room ,2015,1h 58min,Drama,8.1,"358,090",https://www.imdb.com/title/tt3170832/
Blade Runner ,1982,1h 57min,Action,8.1,"678,784",https://www.imdb.com/title/tt0083658/
The Truman Show ,1998,1h 43min,Comedy,8.1,"911,823",https://www.imdb.com/title/tt0120382/
Wild Strawberries ,1957,1h 31min,Drama,8.2,"92,992",https://www.imdb.com/title/tt0050986/
Finding Nemo ,2003,1h 40min,Animation,8.1,"928,884",https://www.imdb.com/title/tt0266543/
The Sixth Sense ,1999,1h 47min,Drama,8.1,"895,221",https://www.imdb.com/title/tt0167404/
Gone with the Wind ,1939,3h 58min,Drama,8.1,"284,301",https://www.imdb.com/title/tt0031381/
Jurassic Park ,1993,2h 7min,Action,8.1,"847,124",https://www.imdb.com/title/tt0107290/
Trainspotting ,1996,1h 33min,Drama,8.1,"623,921",https://www.imdb.com/title/tt0117951/
The Elephant Man ,1980,2h 4min,Biography,8.1,"214,778",https://www.imdb.com/title/tt0080678/
Inside Out ,2015,1h 35min,Animation,8.1,"593,454",https://www.imdb.com/title/tt2096673/
Warrior ,2011,2h 20min,Action,8.2,"427,982",https://www.imdb.com/title/tt1291584/
The Thing ,1982,1h 49min,Horror,8.1,"360,602",https://www.imdb.com/title/tt0084787/
No Country for Old Men ,2007,2h 2min,Crime,8.1,"832,825",https://www.imdb.com/title/tt0477348/
The Seventh Seal ,1957,1h 36min,Drama,8.2,"159,602",https://www.imdb.com/title/tt0050976/
Shutter Island ,2010,2h 18min,Mystery,8.2,"1,097,571",https://www.imdb.com/title/tt1130884/
Chinatown ,1974,2h 10min,Drama,8.2,"287,212",https://www.imdb.com/title/tt0071315/
The Gold Rush ,1925,1h 35min,Adventure,8.2,"97,648",https://www.imdb.com/title/tt0015864/
Dial M for Murder ,1954,1h 45min,Crime,8.2,"153,556",https://www.imdb.com/title/tt0046912/
V for Vendetta ,2005,2h 12min,Action,8.2,"1,010,667",https://www.imdb.com/title/tt0434409/
My Father and My Son ,2005,1h 52min,Drama,8.3,"76,159",https://www.imdb.com/title/tt0476735/
The Treasure of the Sierra Madre ,1948,2h 6min,Adventure,8.2,"111,634",https://www.imdb.com/title/tt0040897/
"Three Billboards Outside Ebbing, Missouri ",2017,1h 55min,Comedy,8.2,"412,565",https://www.imdb.com/title/tt5027774/
Judgment at Nuremberg ,1961,2h 59min,Drama,8.2,"67,464",https://www.imdb.com/title/tt0055031/
Raging Bull ,1980,2h 9min,Biography,8.2,"314,169",https://www.imdb.com/title/tt0081398/
There Will Be Blood ,2007,2h 38min,Drama,8.2,"503,646",https://www.imdb.com/title/tt0469494/
The Wolf of Wall Street ,2013,3h,Biography,8.2,"1,143,221",https://www.imdb.com/title/tt0993846/
Pan's Labyrinth ,2006,1h 58min,Drama,8.2,"607,486",https://www.imdb.com/title/tt0457430/
The Secret in Their Eyes ,2009,2h 9min,Drama,8.2,"188,113",https://www.imdb.com/title/tt1305806/
My Neighbor Totoro ,1988,1h 26min,Animation,8.2,"278,970",https://www.imdb.com/title/tt0096283/
"Lock, Stock and Two Smoking Barrels ",1998,1h 47min,Action,8.2,"525,025",https://www.imdb.com/title/tt0120735/
Casino ,1995,2h 58min,Crime,8.2,"453,502",https://www.imdb.com/title/tt0112641/
A Beautiful Mind ,2001,2h 15min,Biography,8.2,"828,523",https://www.imdb.com/title/tt0268978/
Some Like It Hot ,1959,2h 1min,Comedy,8.2,"238,325",https://www.imdb.com/title/tt0053291/
Unforgiven ,1992,2h 10min,Drama,8.2,"367,747",https://www.imdb.com/title/tt0105695/
The Great Escape ,1963,2h 52min,Adventure,8.2,"219,926",https://www.imdb.com/title/tt0057115/
Ran ,1985,2h 42min,Action,8.2,"109,050",https://www.imdb.com/title/tt0089881/
Anand ,1971,2h 2min,Drama,8.5,"28,264",https://www.imdb.com/title/tt0066763/
All About Eve ,1950,2h 18min,Drama,8.2,"117,789",https://www.imdb.com/title/tt0042192/
Children of Heaven ,1997,1h 29min,Drama,8.3,"62,464",https://www.imdb.com/title/tt0118849/
Downfall ,2004,2h 36min,Biography,8.2,"324,969",https://www.imdb.com/title/tt0363163/
Howl's Moving Castle ,2004,1h 59min,Animation,8.2,"319,791",https://www.imdb.com/title/tt0347149/
Green Book ,2018,2h 10min,Biography,8.2,"343,232",https://www.imdb.com/title/tt6966692/
Yojimbo ,1961,1h 50min,Action,8.2,"107,789",https://www.imdb.com/title/tt0055630/
Heat ,1995,2h 50min,Crime,8.2,"563,045",https://www.imdb.com/title/tt0113277/
Monty Python and the Holy Grail ,1975,1h 31min,Adventure,8.2,"492,063",https://www.imdb.com/title/tt0071853/
